,author,date,link,title,status
1453,Todd Coleman,Oct 2016,https://www.ted.com/talks/todd_coleman_a_temporary_tattoo_that_brings_hospital_care_to_the_home?language=zh-cn,临时纹身，将医院带回家,0
1454,Trevor Copp and Jeff Fox,Oct 2016,https://www.ted.com/talks/trevor_copp_jeff_fox_ballroom_dance_that_breaks_gender_roles?language=zh-cn,打破性别限定的交谊舞,0
1455,Pico Iyer,Oct 2016,https://www.ted.com/talks/pico_iyer_the_beauty_of_what_we_ll_never_know?language=zh-cn,未知的美丽,0
1456,Ione Wells,Oct 2016,https://www.ted.com/talks/ione_wells_how_we_talk_about_sexual_assault_online?language=zh-cn,如何在网上讨论性侵行为,0
1457,Rainn Wilson,Oct 2016,https://www.ted.com/talks/rainn_wilson_ideas_worth_dating?language=zh-cn,跟想法约会吧！,0
1458,Adam de la Zerda,Oct 2016,https://www.ted.com/talks/adam_de_la_zerda_how_we_can_start_winning_the_war_against_cancer?language=zh-cn,我们怎样能够开始赢得与癌症战争的胜利,0
1459,Ellen Jorgensen,Oct 2016,https://www.ted.com/talks/ellen_jorgensen_what_you_need_to_know_about_crispr?language=zh-cn,关于CRISPR你必须知道的东西,0
1460,Sam Harris,Sep 2016,https://www.ted.com/talks/sam_harris_can_we_build_ai_without_losing_control_over_it?language=zh-cn,我们能打造人工智能且同时掌握控制权吗？,0
1461,Camille A. Brown,Sep 2016,https://www.ted.com/talks/camille_a_brown_a_visual_history_of_social_dance_in_25_moves?language=zh-cn,从25个舞步中“看见”社交舞历史,0
1462,J.D. Vance,Sep 2016,https://www.ted.com/talks/j_d_vance_america_s_forgotten_working_class?language=zh-cn,被遗忘的美国工人阶级,0
1463,Rebecca MacKinnon,Sep 2016,https://www.ted.com/talks/rebecca_mackinnon_we_can_fight_terror_without_sacrificing_our_rights?language=zh-cn,不必牺牲我们的权利去对抗恐怖主义,0
1464,Nadia Lopez,Sep 2016,https://www.ted.com/talks/nadia_lopez_why_open_a_school_to_close_a_prison?language=zh-cn,开办一所学校，即关闭一所监狱,0
1465,David Burkus,Sep 2016,https://www.ted.com/talks/david_burkus_why_you_should_know_how_much_your_coworkers_get_paid?language=zh-cn,为什么你应该知道同事的薪资,0
1466,Eric Liu,Sep 2016,https://www.ted.com/talks/eric_liu_there_s_no_such_thing_as_not_voting?language=zh-cn,不存在“不投票”这种事,0
1467,Abigail Marsh,Sep 2016,https://www.ted.com/talks/abigail_marsh_why_some_people_are_more_altruistic_than_others?language=zh-cn,强烈的利他心理从何而来,0
1468,Michael Murphy,Sep 2016,https://www.ted.com/talks/michael_murphy_architecture_that_s_built_to_heal?language=zh-cn,用建筑来获得疗愈,0
1469,Julie Lythcott-Haims,Sep 2016,https://www.ted.com/talks/julie_lythcott_haims_how_to_raise_successful_kids_without_over_parenting?language=zh-cn,正确的教育方式－避免过度呵护,0
1470,Neha Narula,Sep 2016,https://www.ted.com/talks/neha_narula_the_future_of_money?language=zh-cn,未来的货币,0
1471,Courtney E. Martin,Sep 2016,https://www.ted.com/talks/courtney_martin_the_new_american_dream?language=zh-cn,新美国梦,0
1472,Sal Khan,Sep 2016,https://www.ted.com/talks/sal_khan_let_s_teach_for_mastery_not_test_scores?language=zh-cn,让我们为掌握而教，而不是为了考试分数,0
1473,James Veitch,Sep 2016,https://www.ted.com/talks/james_veitch_the_agony_of_trying_to_unsubscribe?language=zh-cn,取消订阅的烦恼,0
1474,Jonathan Tepperman,Sep 2016,https://www.ted.com/talks/jonathan_tepperman_the_risky_politics_of_progress?language=zh-cn,在危机中前行的政治,0
1475,Kio Stark,Aug 2016,https://www.ted.com/talks/kio_stark_why_you_should_talk_to_strangers?language=zh-cn,为什么我们需要与陌生人交流,0
1476,Kevin Kelly,Dec 2016,https://www.ted.com/talks/kevin_kelly_how_ai_can_bring_on_a_second_industrial_revolution?language=zh-cn,人工智能将如何推动第二次工业革命,0
1477,Jia Jiang,Dec 2016,https://www.ted.com/talks/jia_jiang_what_i_learned_from_100_days_of_rejection?language=zh-cn,我从“被拒100天”学到的,0
1478,Danny Dorling,Nov 2016,https://www.ted.com/talks/danny_dorling_maps_that_show_us_who_we_are_not_just_where_we_are?language=zh-cn,地图能让我们认识到真正的自己（不仅仅告诉我们在哪）,0
1479,Juan Enriquez,Nov 2016,https://www.ted.com/talks/juan_enriquez_what_will_humans_look_like_in_100_years?language=zh-cn,人类100年后会变成什么样子？,0
1480,Roger Antonsen,Nov 2016,https://www.ted.com/talks/roger_antonsen_math_is_the_hidden_secret_to_understanding_the_world?language=zh-cn,理解世界的秘诀：数学,0
1481,Hector Garcia,Nov 2016,https://www.ted.com/talks/hector_garcia_we_train_soldiers_for_war_let_s_train_them_to_come_home_too?language=zh-cn,我们训练士兵在战场上冲锋陷阵；让我们也训练他们如何回家,0
1482,Halla Tómasdóttir,Nov 2016,https://www.ted.com/talks/halla_tomasdottir_it_s_time_for_women_to_run_for_office?language=zh-cn,是时候让女性投身政治了,0
1483,Mallory Soldner,Nov 2016,https://www.ted.com/talks/mallory_soldner_your_company_s_data_could_end_world_hunger?language=zh-cn,你们的数据可以帮助终结世界饥饿问题,0
1484,Kandice Sumner,Nov 2016,https://www.ted.com/talks/kandice_sumner_how_america_s_public_schools_keep_kids_in_poverty?language=zh-cn,美国公立学校如何未能让孩子走出贫困,0
1485,Christopher Soghoian,Oct 2016,https://www.ted.com/talks/christopher_soghoian_your_smartphone_is_a_civil_rights_issue?language=zh-cn,你的智能手机关乎公民权利,0
1486,Silk Road Ensemble and Rhiannon Giddens,Oct 2016,https://www.ted.com/talks/silk_road_ensemble_rhiannon_giddens_st_james_infirmary_blues?language=zh-cn,St. James 医院的忧愁,0
1487,Wanis Kabbaj,Oct 2016,https://www.ted.com/talks/wanis_kabbaj_what_a_driverless_world_could_look_like?language=zh-cn,一个无人驾驶的世界会是什么样的？,0
1488,Philippa Neave,Oct 2016,https://www.ted.com/talks/philippa_neave_the_unexpected_challenges_of_a_country_s_first_election?language=zh-cn,国家第一次选举的未知挑战,0
1489,Todd Coleman,Oct 2016,https://www.ted.com/talks/todd_coleman_a_temporary_tattoo_that_brings_hospital_care_to_the_home?language=zh-cn,临时纹身，将医院带回家,0
1490,Trevor Copp and Jeff Fox,Oct 2016,https://www.ted.com/talks/trevor_copp_jeff_fox_ballroom_dance_that_breaks_gender_roles?language=zh-cn,打破性别限定的交谊舞,0
1491,Pico Iyer,Oct 2016,https://www.ted.com/talks/pico_iyer_the_beauty_of_what_we_ll_never_know?language=zh-cn,未知的美丽,0
1492,Ione Wells,Oct 2016,https://www.ted.com/talks/ione_wells_how_we_talk_about_sexual_assault_online?language=zh-cn,如何在网上讨论性侵行为,0
1493,Rainn Wilson,Oct 2016,https://www.ted.com/talks/rainn_wilson_ideas_worth_dating?language=zh-cn,跟想法约会吧！,0
1494,Adam de la Zerda,Oct 2016,https://www.ted.com/talks/adam_de_la_zerda_how_we_can_start_winning_the_war_against_cancer?language=zh-cn,我们怎样能够开始赢得与癌症战争的胜利,0
1495,Ellen Jorgensen,Oct 2016,https://www.ted.com/talks/ellen_jorgensen_what_you_need_to_know_about_crispr?language=zh-cn,关于CRISPR你必须知道的东西,0
1496,Sam Harris,Sep 2016,https://www.ted.com/talks/sam_harris_can_we_build_ai_without_losing_control_over_it?language=zh-cn,我们能打造人工智能且同时掌握控制权吗？,0
1497,Camille A. Brown,Sep 2016,https://www.ted.com/talks/camille_a_brown_a_visual_history_of_social_dance_in_25_moves?language=zh-cn,从25个舞步中“看见”社交舞历史,0
1498,J.D. Vance,Sep 2016,https://www.ted.com/talks/j_d_vance_america_s_forgotten_working_class?language=zh-cn,被遗忘的美国工人阶级,0
1499,Rebecca MacKinnon,Sep 2016,https://www.ted.com/talks/rebecca_mackinnon_we_can_fight_terror_without_sacrificing_our_rights?language=zh-cn,不必牺牲我们的权利去对抗恐怖主义,0
1500,Nadia Lopez,Sep 2016,https://www.ted.com/talks/nadia_lopez_why_open_a_school_to_close_a_prison?language=zh-cn,开办一所学校，即关闭一所监狱,0
1501,David Burkus,Sep 2016,https://www.ted.com/talks/david_burkus_why_you_should_know_how_much_your_coworkers_get_paid?language=zh-cn,为什么你应该知道同事的薪资,0
1502,Eric Liu,Sep 2016,https://www.ted.com/talks/eric_liu_there_s_no_such_thing_as_not_voting?language=zh-cn,不存在“不投票”这种事,0
1503,Abigail Marsh,Sep 2016,https://www.ted.com/talks/abigail_marsh_why_some_people_are_more_altruistic_than_others?language=zh-cn,强烈的利他心理从何而来,0
1504,Michael Murphy,Sep 2016,https://www.ted.com/talks/michael_murphy_architecture_that_s_built_to_heal?language=zh-cn,用建筑来获得疗愈,0
1505,Julie Lythcott-Haims,Sep 2016,https://www.ted.com/talks/julie_lythcott_haims_how_to_raise_successful_kids_without_over_parenting?language=zh-cn,正确的教育方式－避免过度呵护,0
1506,Neha Narula,Sep 2016,https://www.ted.com/talks/neha_narula_the_future_of_money?language=zh-cn,未来的货币,0
1507,Courtney E. Martin,Sep 2016,https://www.ted.com/talks/courtney_martin_the_new_american_dream?language=zh-cn,新美国梦,0
1508,Sal Khan,Sep 2016,https://www.ted.com/talks/sal_khan_let_s_teach_for_mastery_not_test_scores?language=zh-cn,让我们为掌握而教，而不是为了考试分数,0
1509,James Veitch,Sep 2016,https://www.ted.com/talks/james_veitch_the_agony_of_trying_to_unsubscribe?language=zh-cn,取消订阅的烦恼,0
1510,Jonathan Tepperman,Sep 2016,https://www.ted.com/talks/jonathan_tepperman_the_risky_politics_of_progress?language=zh-cn,在危机中前行的政治,0
1511,Kio Stark,Aug 2016,https://www.ted.com/talks/kio_stark_why_you_should_talk_to_strangers?language=zh-cn,为什么我们需要与陌生人交流,0
1512,Kevin Kelly,Dec 2016,https://www.ted.com/talks/kevin_kelly_how_ai_can_bring_on_a_second_industrial_revolution?language=zh-cn,人工智能将如何推动第二次工业革命,0
1513,Jia Jiang,Dec 2016,https://www.ted.com/talks/jia_jiang_what_i_learned_from_100_days_of_rejection?language=zh-cn,我从“被拒100天”学到的,0
1514,Danny Dorling,Nov 2016,https://www.ted.com/talks/danny_dorling_maps_that_show_us_who_we_are_not_just_where_we_are?language=zh-cn,地图能让我们认识到真正的自己（不仅仅告诉我们在哪）,0
1515,Juan Enriquez,Nov 2016,https://www.ted.com/talks/juan_enriquez_what_will_humans_look_like_in_100_years?language=zh-cn,人类100年后会变成什么样子？,0
1516,Roger Antonsen,Nov 2016,https://www.ted.com/talks/roger_antonsen_math_is_the_hidden_secret_to_understanding_the_world?language=zh-cn,理解世界的秘诀：数学,0
1517,Hector Garcia,Nov 2016,https://www.ted.com/talks/hector_garcia_we_train_soldiers_for_war_let_s_train_them_to_come_home_too?language=zh-cn,我们训练士兵在战场上冲锋陷阵；让我们也训练他们如何回家,0
1518,Halla Tómasdóttir,Nov 2016,https://www.ted.com/talks/halla_tomasdottir_it_s_time_for_women_to_run_for_office?language=zh-cn,是时候让女性投身政治了,0
1519,Mallory Soldner,Nov 2016,https://www.ted.com/talks/mallory_soldner_your_company_s_data_could_end_world_hunger?language=zh-cn,你们的数据可以帮助终结世界饥饿问题,0
1520,Kandice Sumner,Nov 2016,https://www.ted.com/talks/kandice_sumner_how_america_s_public_schools_keep_kids_in_poverty?language=zh-cn,美国公立学校如何未能让孩子走出贫困,0
1521,Christopher Soghoian,Oct 2016,https://www.ted.com/talks/christopher_soghoian_your_smartphone_is_a_civil_rights_issue?language=zh-cn,你的智能手机关乎公民权利,0
1522,Silk Road Ensemble and Rhiannon Giddens,Oct 2016,https://www.ted.com/talks/silk_road_ensemble_rhiannon_giddens_st_james_infirmary_blues?language=zh-cn,St. James 医院的忧愁,0
1523,Wanis Kabbaj,Oct 2016,https://www.ted.com/talks/wanis_kabbaj_what_a_driverless_world_could_look_like?language=zh-cn,一个无人驾驶的世界会是什么样的？,0
1524,Philippa Neave,Oct 2016,https://www.ted.com/talks/philippa_neave_the_unexpected_challenges_of_a_country_s_first_election?language=zh-cn,国家第一次选举的未知挑战,0
1525,Todd Coleman,Oct 2016,https://www.ted.com/talks/todd_coleman_a_temporary_tattoo_that_brings_hospital_care_to_the_home?language=zh-cn,临时纹身，将医院带回家,0
1526,Trevor Copp and Jeff Fox,Oct 2016,https://www.ted.com/talks/trevor_copp_jeff_fox_ballroom_dance_that_breaks_gender_roles?language=zh-cn,打破性别限定的交谊舞,0
1527,Pico Iyer,Oct 2016,https://www.ted.com/talks/pico_iyer_the_beauty_of_what_we_ll_never_know?language=zh-cn,未知的美丽,0
1528,Ione Wells,Oct 2016,https://www.ted.com/talks/ione_wells_how_we_talk_about_sexual_assault_online?language=zh-cn,如何在网上讨论性侵行为,0
1529,Rainn Wilson,Oct 2016,https://www.ted.com/talks/rainn_wilson_ideas_worth_dating?language=zh-cn,跟想法约会吧！,0
1530,Adam de la Zerda,Oct 2016,https://www.ted.com/talks/adam_de_la_zerda_how_we_can_start_winning_the_war_against_cancer?language=zh-cn,我们怎样能够开始赢得与癌症战争的胜利,0
1531,Ellen Jorgensen,Oct 2016,https://www.ted.com/talks/ellen_jorgensen_what_you_need_to_know_about_crispr?language=zh-cn,关于CRISPR你必须知道的东西,0
1532,Sam Harris,Sep 2016,https://www.ted.com/talks/sam_harris_can_we_build_ai_without_losing_control_over_it?language=zh-cn,我们能打造人工智能且同时掌握控制权吗？,0
1533,Camille A. Brown,Sep 2016,https://www.ted.com/talks/camille_a_brown_a_visual_history_of_social_dance_in_25_moves?language=zh-cn,从25个舞步中“看见”社交舞历史,0
1534,J.D. Vance,Sep 2016,https://www.ted.com/talks/j_d_vance_america_s_forgotten_working_class?language=zh-cn,被遗忘的美国工人阶级,0
1535,Rebecca MacKinnon,Sep 2016,https://www.ted.com/talks/rebecca_mackinnon_we_can_fight_terror_without_sacrificing_our_rights?language=zh-cn,不必牺牲我们的权利去对抗恐怖主义,0
1536,Nadia Lopez,Sep 2016,https://www.ted.com/talks/nadia_lopez_why_open_a_school_to_close_a_prison?language=zh-cn,开办一所学校，即关闭一所监狱,0
1537,David Burkus,Sep 2016,https://www.ted.com/talks/david_burkus_why_you_should_know_how_much_your_coworkers_get_paid?language=zh-cn,为什么你应该知道同事的薪资,0
1538,Eric Liu,Sep 2016,https://www.ted.com/talks/eric_liu_there_s_no_such_thing_as_not_voting?language=zh-cn,不存在“不投票”这种事,0
1539,Abigail Marsh,Sep 2016,https://www.ted.com/talks/abigail_marsh_why_some_people_are_more_altruistic_than_others?language=zh-cn,强烈的利他心理从何而来,0
1540,Michael Murphy,Sep 2016,https://www.ted.com/talks/michael_murphy_architecture_that_s_built_to_heal?language=zh-cn,用建筑来获得疗愈,0
1541,Julie Lythcott-Haims,Sep 2016,https://www.ted.com/talks/julie_lythcott_haims_how_to_raise_successful_kids_without_over_parenting?language=zh-cn,正确的教育方式－避免过度呵护,0
1542,Neha Narula,Sep 2016,https://www.ted.com/talks/neha_narula_the_future_of_money?language=zh-cn,未来的货币,0
1543,Courtney E. Martin,Sep 2016,https://www.ted.com/talks/courtney_martin_the_new_american_dream?language=zh-cn,新美国梦,0
1544,Sal Khan,Sep 2016,https://www.ted.com/talks/sal_khan_let_s_teach_for_mastery_not_test_scores?language=zh-cn,让我们为掌握而教，而不是为了考试分数,0
1545,James Veitch,Sep 2016,https://www.ted.com/talks/james_veitch_the_agony_of_trying_to_unsubscribe?language=zh-cn,取消订阅的烦恼,0
1546,Jonathan Tepperman,Sep 2016,https://www.ted.com/talks/jonathan_tepperman_the_risky_politics_of_progress?language=zh-cn,在危机中前行的政治,0
1547,Kio Stark,Aug 2016,https://www.ted.com/talks/kio_stark_why_you_should_talk_to_strangers?language=zh-cn,为什么我们需要与陌生人交流,0
1548,Kevin Kelly,Dec 2016,https://www.ted.com/talks/kevin_kelly_how_ai_can_bring_on_a_second_industrial_revolution?language=zh-cn,人工智能将如何推动第二次工业革命,0
1549,Jia Jiang,Dec 2016,https://www.ted.com/talks/jia_jiang_what_i_learned_from_100_days_of_rejection?language=zh-cn,我从“被拒100天”学到的,0
1550,Danny Dorling,Nov 2016,https://www.ted.com/talks/danny_dorling_maps_that_show_us_who_we_are_not_just_where_we_are?language=zh-cn,地图能让我们认识到真正的自己（不仅仅告诉我们在哪）,0
1551,Juan Enriquez,Nov 2016,https://www.ted.com/talks/juan_enriquez_what_will_humans_look_like_in_100_years?language=zh-cn,人类100年后会变成什么样子？,0
1552,Roger Antonsen,Nov 2016,https://www.ted.com/talks/roger_antonsen_math_is_the_hidden_secret_to_understanding_the_world?language=zh-cn,理解世界的秘诀：数学,0
1553,Hector Garcia,Nov 2016,https://www.ted.com/talks/hector_garcia_we_train_soldiers_for_war_let_s_train_them_to_come_home_too?language=zh-cn,我们训练士兵在战场上冲锋陷阵；让我们也训练他们如何回家,0
1554,Halla Tómasdóttir,Nov 2016,https://www.ted.com/talks/halla_tomasdottir_it_s_time_for_women_to_run_for_office?language=zh-cn,是时候让女性投身政治了,0
1555,Mallory Soldner,Nov 2016,https://www.ted.com/talks/mallory_soldner_your_company_s_data_could_end_world_hunger?language=zh-cn,你们的数据可以帮助终结世界饥饿问题,0
1556,Kandice Sumner,Nov 2016,https://www.ted.com/talks/kandice_sumner_how_america_s_public_schools_keep_kids_in_poverty?language=zh-cn,美国公立学校如何未能让孩子走出贫困,0
